,objs-1,objs-2,objs-3,objs-4,objs-5,objs-6,objs-7,objs-8,objs-9,objs-10,objs-11,objs-12,objs-13,objs-14,objs-15,objs-16,objs-17,objs-18,objs-19,objs-20,objs-21,objs-22,objs-23,objs-24,objs-25,objs-26,objs-27,objs-28,objs-29,objs-30,actn-1,actn-2,actn-3,actn-4,actn-5,actn-6,actn-7,actn-8,actn-9,actn-10,actn-11,actn-12,actn-13,actn-14,actn-15,actn-16,actn-17,actn-18,actn-19,actn-20,actn-21,actn-22,actn-23,actn-24,actn-25,actn-26,actn-27,actn-28,actn-29,actn-30,best-objs-1,best-objs-2,best-objs-3,best-objs-4,best-objs-5,best-objs-6,best-objs-7,best-objs-8,best-objs-9,best-objs-10,best-objs-11,best-objs-12,best-objs-13,best-objs-14,best-objs-15,best-objs-16,best-objs-17,best-objs-18,best-objs-19,best-objs-20,best-objs-21,best-objs-22,best-objs-23,best-objs-24,best-objs-25,best-objs-26,best-objs-27,best-objs-28,best-objs-29,best-objs-30,best-acts-1,best-acts-2,best-acts-3,best-acts-4,best-acts-5,best-acts-6,best-acts-7,best-acts-8,best-acts-9,best-acts-10,best-acts-11,best-acts-12,best-acts-13,best-acts-14,best-acts-15,best-acts-16,best-acts-17,best-acts-18,best-acts-19,best-acts-20,best-acts-21,best-acts-22,best-acts-23,best-acts-24,best-acts-25,best-acts-26,best-acts-27,best-acts-28,best-acts-29,best-acts-30
0,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
1,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,-2.277669551,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
2,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,-3.382358037,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,1499,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
3,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,-2.399363593,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
4,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,-2.956042002,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
5,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,-3.966228754,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
6,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,-2.00528747,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
7,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,-2.552815848,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
8,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,-2.183293065,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
9,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,-2.585910274,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
10,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,-5.425945389,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,1370,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
11,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,-4.309164908,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,1256,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
12,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,-4.303547241,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
13,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,-2.93434166,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
14,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,-3.107368956,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,-1.726567257,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
